"","kgf","s","nome"
"606",6.9697,60.4,"BAT1"
"607",6.9697,60.5,"BAT1"
"608",7,60.6,"BAT1"
"609",7.0297,60.7,"BAT1"
"610",7.0297,60.8,"BAT1"
"611",7.05941,60.9,"BAT1"
"612",7.08911,61,"BAT1"
"613",7.08911,61.1,"BAT1"
"614",7.11881,61.2,"BAT1"
"615",7.14851,61.3,"BAT1"
"616",7.14851,61.4,"BAT1"
"617",7.17822,61.5,"BAT1"
"618",7.20792,61.6,"BAT1"
"619",7.20792,61.7,"BAT1"
"620",7.23762,61.8,"BAT1"
"621",7.23762,61.9,"BAT1"
"622",7.26733,62,"BAT1"
"623",7.29703,62.1,"BAT1"
"624",7.32673,62.2,"BAT1"
"625",7.32673,62.3,"BAT1"
"626",7.35644,62.4,"BAT1"
"627",7.38614,62.5,"BAT1"
"628",7.38614,62.6,"BAT1"
"629",7.41584,62.7,"BAT1"
"630",7.44554,62.8,"BAT1"
"631",7.44554,62.9,"BAT1"
"632",7.47525,63,"BAT1"
"633",7.50495,63.1,"BAT1"
"634",7.50495,63.2,"BAT1"
"635",7.53465,63.3,"BAT1"
"636",7.53465,63.4,"BAT1"
"637",7.56436,63.5,"BAT1"
"638",7.59406,63.6,"BAT1"
"639",7.59406,63.7,"BAT1"
"640",7.62376,63.8,"BAT1"
"641",7.65347,63.9,"BAT1"
"642",7.68317,64,"BAT1"
"643",7.68317,64.1,"BAT1"
"644",7.71287,64.2,"BAT1"
"645",7.74257,64.3,"BAT1"
"646",7.74257,64.4,"BAT1"
"647",7.77228,64.5,"BAT1"
"648",7.80198,64.6,"BAT1"
"649",7.80198,64.7,"BAT1"
"650",7.83168,64.8,"BAT1"
"651",7.86139,64.9,"BAT1"
"652",7.86139,65,"BAT1"
"653",7.89109,65.1,"BAT1"
"654",7.92079,65.2,"BAT1"
"655",7.92079,65.3,"BAT1"
"656",7.95049,65.4,"BAT1"
"657",7.95049,65.5,"BAT1"
"658",7.9802,65.6,"BAT1"
"659",8.0099,65.7,"BAT1"
"660",8.0099,65.8,"BAT1"
"661",8.0396,65.9,"BAT1"
"662",8.0396,66,"BAT1"
"663",8.06931,66.1,"BAT1"
"664",8.09901,66.2,"BAT1"
"665",8.09901,66.3,"BAT1"
"666",8.12871,66.4,"BAT1"
"667",8.12871,66.5,"BAT1"
"668",8.15842,66.6,"BAT1"
"669",8.18812,66.7,"BAT1"
"670",8.18812,66.8,"BAT1"
"671",8.15842,66.9,"BAT1"
"672",8.21782,67,"BAT1"
"673",8.24753,67.1,"BAT1"
"674",8.27723,67.2,"BAT1"
"675",8.27723,67.3,"BAT1"
"676",8.30693,67.4,"BAT1"
"677",8.30693,67.5,"BAT1"
"678",8.33663,67.6,"BAT1"
"679",8.36634,67.7,"BAT1"
"680",8.36634,67.8,"BAT1"
"681",8.36634,67.9,"BAT1"
"682",8.39604,68,"BAT1"
"683",8.42574,68.1,"BAT1"
"684",8.42574,68.2,"BAT1"
"685",8.45545,68.3,"BAT1"
"686",8.45545,68.4,"BAT1"
"687",8.48515,68.5,"BAT1"
"688",8.48515,68.6,"BAT1"
"689",8.51485,68.7,"BAT1"
"690",8.51485,68.8,"BAT1"
"691",8.54455,68.9,"BAT1"
"692",8.54455,69,"BAT1"
"693",8.57426,69.1,"BAT1"
"694",8.57426,69.2,"BAT1"
"695",8.60396,69.3,"BAT1"
"696",8.60396,69.4,"BAT1"
"697",8.63366,69.5,"BAT1"
"698",8.63366,69.6,"BAT1"
"699",8.66337,69.7,"BAT1"
"700",8.66337,69.8,"BAT1"
"701",8.69307,69.9,"BAT1"
"702",8.69307,70,"BAT1"
"703",8.72277,70.1,"BAT1"
"704",8.72277,70.2,"BAT1"
"705",8.75247,70.3,"BAT1"
"706",8.75247,70.4,"BAT1"
"707",8.78218,70.5,"BAT1"
"708",8.78218,70.6,"BAT1"
"709",8.81188,70.7,"BAT1"
"710",8.81188,70.8,"BAT1"
"711",8.81188,70.9,"BAT1"
"712",8.84158,71,"BAT1"
"713",8.84158,71.1,"BAT1"
"714",8.87129,71.2,"BAT1"
"715",8.87129,71.3,"BAT1"
"716",8.90099,71.4,"BAT1"
"717",8.90099,71.5,"BAT1"
"718",8.90099,71.6,"BAT1"
"719",8.93069,71.7,"BAT1"
"720",8.93069,71.8,"BAT1"
"721",8.93069,71.9,"BAT1"
"722",8.93069,72,"BAT1"
"723",8.9604,72.1,"BAT1"
"724",8.9901,72.2,"BAT1"
"725",8.9901,72.3,"BAT1"
"726",8.9901,72.4,"BAT1"
"727",8.9901,72.5,"BAT1"
"728",9.0198,72.6,"BAT1"
"729",9.0198,72.7,"BAT1"
"730",9.0198,72.8,"BAT1"
"731",9.0198,72.9,"BAT1"
"732",9.0198,73,"BAT1"
"733",9.0198,73.1,"BAT1"
"734",9.0495,73.2,"BAT1"
"735",9.0495,73.3,"BAT1"
"736",9.0495,73.4,"BAT1"
"737",9.0495,73.5,"BAT1"
"738",9.0495,73.6,"BAT1"
"739",8.9604,73.7,"BAT1"
"740",8.93069,73.8,"BAT1"
"741",8.93069,73.9,"BAT1"
"742",8.90099,74,"BAT1"
"743",8.90099,74.1,"BAT1"
"744",8.90099,74.2,"BAT1"
